web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Коробки с мелочью;;;913;Rīga;Москва;27.04.2023;13,5;15400;№ 1858268; Заказ грузовой газели для перевозки мебели ;"Груз : Коробки с мелочью 
                                        Дата перевозки:  с 25.04 по 29.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 30 см; 20 см; 3 см;
					Объем:  0.01 м3";10,43873342;;27.04.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личная одежда;;;2894;Лондон;Москва;29.04.2023;13,5;11800;№ 1858468; Заказ грузовой машины для перевозки вещей ;"Груз : Личная одежда 
                                        Дата перевозки:  27.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 50 см; 80 см; 50 см;
					Объем:  0.2 м3";10,10060199;;29.04.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личные вещи (коробки);;;3956;Самара;Surrey;04.05.2023;15,5;61900;№ 1860596; Отправить Личные вещи (коробки);"Груз : Личные вещи (коробки) 
                                        Дата перевозки:  с 04.05 по 13.05
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 40 см; 30 см; 30 см;
					Объем:  0.04 м3";6,851127717;;04.05.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Велосипед в защитной упаковке;;;1568;Москва;Kraków;08.05.2023;4,5;11600;№ 1861524; Услуги эвакуатора для мототехники цена;"Груз :
							Велосипед в защитной упаковке						
                                        Дата перевозки:  13.05
					Время перевозки:  Не указано
                    Категория: Транспортные средства
                    Вес: 15 кг
                    Д; Ш; В : 200 см; 40 см; 150 см;
					Объем:  1.2 м3";11,73454909;;08.05.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;986;Москва;Гродно;25.06.2023;12;29100;№ 1864197; Переезд квартиры;"Дата перевозки:  03.07
					Время перевозки:  Не указано

										Общий объем:  3.48 м3
					Общий вес:  179.5 кг
                    Категория: Переезд";7,939785343;;25.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Ножи туристические с сертификатом;;;1978;Москва;Бургас;30.05.2023;10,5;5500;№ 1864813; Доставка вещей ;"Груз : Ножи туристические с сертификатом 
                                        Дата перевозки:  с 24.05 по 04.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 1 кг
                    Д; Ш; В : 30 см; 10 см; 10 см;
					Объем:  0.01 м3";7,369341998;;30.05.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Подарок бабушке;;;5730;Дюссельдорф;Новосибирск;05.07.2023;10,5;15400;№ 1865804; Отправить Подарок бабушке;"Груз : Подарок бабушке 
                                        Дата перевозки:  05.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 3 кг
                    Д; Ш; В : 30 см; 12 см; 20 см;
					Объем:  0.01 м3";12,64620711;;05.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Чемодан с одеждой;;;2460;Москва;Орхус;01.06.2023;12,5;18000;№ 1866848; заказ машины  перевезти чемодан С одеждого догрузом;"Груз :
							Чемодан с одеждой						
                                        Дата перевозки:  10.06
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 20 кг
                    Д; Ш; В : 60 см; 60 см; 90 см;
					Объем:  0.32 м3";5,817058433;;01.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личные вещи в чемодане, Личные вещи в сумке;;;4458;Limassol;Санкт-Петербург;14.06.2023;10,5;96600;№ 1867995; Отправка вещей ;"Груз № 1: Личные вещи в чемодане 
                                        Дата перевозки:  06.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 55 кг
                    Д; Ш; В : 50 см; 21 см; 72 см;
					Объем:  0.08 м3";8,863403384;;14.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Плазменный телевизор;;;728;Москва;Минск;01.06.2023;12;10200;№ 1868832; Транспортировка мебели ;"Груз : Плазменный телевизор 
                                        Дата перевозки:  с 02.06 по 04.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 120 см; 10 см; 80 см;
					Объем:  0.1 м3";10,65469323;;01.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Сухие смеси;;;2462;Москва;Горинхем;11.06.2023;13;35000;№ 1870320; Перевезти сухих смеси;"Груз :
							Сухие смеси						
                                        Дата перевозки:  24.06
					Время перевозки:  Не указано
                    Категория: Продукты питания
                    Вес: 20 кг
                    Д; Ш; В : 43 см; 50 см; 40 см;
					Объем:  0.09 м3";7,929658854;;11.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;2217;Москва;Београд;14.06.2023;10,5;176400;№ 1871052; Переезд квартиры;"Дата перевозки:  15.06
					Время перевозки:  с 10:00 по 13:00

										Общий объем:  2.5 м3
					Общий вес:  200 кг
                    Категория: Переезд";7,326030064;;14.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;1858;Москва;Будапешт;20.07.2023;12,5;35400;№ 1871140; Квартирный переезд;"Дата перевозки:  28.07
					Время перевозки:  Не указано

										Общий объем:  0.62 м3
					Общий вес:  60 кг
                    Категория: Переезд";9,074753047;;20.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Маленькие коробки;;;569;Санкт-Петербург;Rīga;14.06.2023;12,5;7000;№ 1871271; Заказать отдельную машину для транспортировки вещей ;"Груз : Маленькие коробки 
                                        Дата перевозки:  14.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 1 кг
                    Д; Ш; В : 30 см; 20 см; 10 см;
					Объем:  0.01 м3";7,580674816;;14.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Чемодан с вещами;;;943;Москва;Юрмала;20.07.2023;11;25800;№ 1873139; Заказ отдельной машины для доставки личныx вещей ;"Груз : Чемодан с вещами 
                                        Дата перевозки:  20.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 60 см; 60 см; 90 см;
					Объем:  0.32 м3";12,16495225;;20.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Кухонный комбайн, Швейная машина, Рюкзак с походным снаряжением;;;2482;Москва;Rotterdam;19.06.2023;10,5;19500;№ 1873298; Перевезти Кухонный комбайн, Швейная машина, Рюкзак с походным снаряжением;"Груз № 1: Кухонный комбайн 
                                        Дата перевозки:  с 19.06 по 20.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 40 см; 40 см; 40 см;
					Объем:  0.06 м3";12,46651206;;19.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Fiat Doblo / 2019 г / 1 шт;;;1399;Руовеси;Тула;21.06.2023;2,5;124900;№ 1873503; Перевезти машину;"Груз :
							Fiat Doblo / 2019 г / 1 шт						
                                        Дата перевозки:  с 18.06 по 31.07
					Время перевозки:  Не указано
                    Категория: Транспортные средства
                    Вес: не указано
                    Д; Ш; В : не указано
					Объем:  не указано";12,23532439;;21.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Протеиновое и низкокалорийное питание для индивидуального пользования;;;2874;Молоди;Женева;26.06.2023;23,5;35000;№ 1873560; Перевозка протеинового и низкокалорийного питания для индивидуального пользования;"Груз :
							Протеиновое и низкокалорийное питание для индивидуального пользования						
                                        Дата перевозки:  с 24.06 по 30.06
					Время перевозки:  Не указано
                    Категория: Продукты питания
                    Вес: 50 кг
                    Д; Ш; В : 1 см; 1 см; 1 см;
					Объем:  0.01 м3";5,907257558;;26.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Телевизор;;;2200;Москва;Београд;19.06.2023;7,5;22400;№ 1873804; Заказать автомобиль для перевозки вещей ;"Груз : Телевизор 
                                        Дата перевозки:  с 10.07 по 18.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 130 см; 20 см; 100 см;
					Объем:  0.26 м3";10,9020182;;19.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Коробка с одеждой и личными вещами;;;3054;Чебоксары;Майнц;21.06.2023;10,5;15000;№ 1873913; Перевезти на камазе коробку С одеждого И личными вещами догрузом;"Груз :
							Коробка с одеждой и личными вещами						
                                        Дата перевозки:  с 26.06 по 23.07
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 20 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";7,080649506;;21.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;ПК с монитором;;;1890;Кладно;Санкт-Петербург;23.06.2023;10,5;30400;№ 1874706; Заказать авто для доставки вещей ;"Груз : ПК с монитором 
                                        Дата перевозки:  23.06
					Время перевозки:  с 15:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 100 см; 30 см; 70 см;
					Объем:  0.21 м3";11,45590278;;23.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Компьютер;;;2361;Москва;Делфзейл;28.06.2023;12,5;45100;№ 1875128; Заказ отдельного автомобиля для отправки личныx вещей ;"Груз : Компьютер 
                                        Дата перевозки:  с 01.07 по 13.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 25 кг
                    Д; Ш; В : 100 см; 100 см; 100 см;
					Объем:  1 м3";6,004504346;;28.06.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Вещи в коробках;;;420;Калининград;Terespol;18.07.2023;12;61400;№ 1875809; Заказ газели дешево попутно;"Груз :
							Вещи в коробках						
                                        Дата перевозки:  15.07
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 40 см; 40 см;
					Объем:  0.08 м3";13,75807953;;18.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Средние коробки;;;4432;Порту;Москва;05.07.2023;13;35300;№ 1877827; Грузовое такси для перевозки средних Коробок догрузом;"Груз :
							Средние коробки						
                                        Дата перевозки:  с 05.07 по 10.07
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 25 кг
                    Д; Ш; В : 50 см; 40 см; 30 см;
					Объем:  0.06 м3";7,567359297;;05.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личные вещи (коробки);;;1706;Минск;Вальддорфхеслах;10.07.2023;10,5;17700;№ 1878633; Отправка личныx вещей ;"Груз : Личные вещи (коробки) 
                                        Дата перевозки:  с 10.07 по 31.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 6 кг
                    Д; Ш; В : 40 см; 35 см; 25 см;
					Объем:  0.04 м3";8,189128868;;10.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Сумки с личными вещами;;;890;Лида;Москва;23.07.2023;12;23500;№ 1879159; Отправить Сумки с личными вещами;"Груз : Сумки с личными вещами 
                                        Дата перевозки:  с 23.07 по 25.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 250 кг
                    Д; Ш; В : 50 см; 80 см; 50 см;
					Объем:  0.2 м3";7,808865513;;23.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;1237;Пурдошки;Червень;30.07.2023;12;32000;№ 1880990; Заказать отдельную газель для переезда квартиры;"Дата перевозки:  02.08
					Время перевозки:  с 08:00 по 18:00

										Общий объем:  4.63 м3
					Общий вес:  180 кг
                    Категория: Переезд";7,51737562;;30.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личная одежда, Одежда;;;1862;Будапешт;Люберцы;28.07.2023;13,5;32800;№ 1881657; Транспортировка мебели ;"Груз № 1: Личная одежда 
                                        Дата перевозки:  21.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 26 кг
                    Д; Ш; В : 75 см; 45 см; 25 см;
					Объем:  0.08 м3";8,679350181;;28.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личная одежда;;;408;Tallinn;Санкт-Петербург;21.07.2023;5,5;34900;№ 1881999; Заказать авто для отправки вещей ;"Груз : Личная одежда 
                                        Дата перевозки:  с 19.07 по 23.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 80 см; 50 см;
					Объем:  0.2 м3";11,68727512;;21.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Футболка;;;4088;Москва;Altea Hills;18.07.2023;10,5;20000;№ 1882099; Отправка мебели ;"Груз : Футболка 
                                        Дата перевозки:  с 22.07 по 06.08
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 2 кг
                    Д; Ш; В : 30 см; 40 см; 10 см;
					Объем:  0.01 м3";11,80770511;;18.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;АКПП;;;1858;Люберцы;Балашшадьярмат;21.08.2023;18;53300;№ 1882904; Грузоперевозки на газели цены попутно;"Груз :
							АКПП						
                                        Дата перевозки:  с 10.08 по 20.08
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 60 кг
                    Д; Ш; В : 30 см; 40 см; 40 см;
					Объем:  0.05 м3";9,60176529;;21.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Робот пылесос, Утюг, столовые приборы и игрушки;;;2340;Москва;München;23.07.2023;10,5;16600;№ 1883049; Доставка мебели ;"Груз № 1: Робот пылесос 
                                        Дата перевозки:  с 24.07 по 24.08
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 6.5 кг
                    Д; Ш; В : 45 см; 41 см; 13 см;
					Объем:  0.02 м3";7,170788786;;23.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;810;Электросталь;Минск;28.07.2023;12;19800;№ 1883726; Домашний переезд;"Дата перевозки:  с 28.07 по 29.07
					Время перевозки:  Не указано

										Общий объем:  3.03 м3
					Общий вес:  380 кг
                    Категория: Переезд";11,10068164;;28.07.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Переезд переезд;;;1255;Коммунарка;Warszawa;21.08.2023;6;23800;№ 1885587; Заказ грузового автомобиля для переезда квартиры;"Дата перевозки:  с 19.08 по 23.08
					Время перевозки:  Не указано

										Общий объем:  0.125 м3
					Общий вес:  20 кг
                    Категория: Переезд";6,09045156;;21.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;ПК с монитором, Одежда и обувь;;;5825;Praha;Алматы;07.08.2023;13;45100;№ 1885797; Перевезти ПК с монитором;"Груз № 1: ПК с монитором 
                                        Дата перевозки:  с 07.08 по 13.08
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 65 см; 65 см; 50 см;
					Объем:  0.21 м3";6,994058094;;07.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Переезд переезд;;;2979;Москва;Лион;14.08.2023;10,5;149700;№ 1887573; Заказать автомобиль для переезда квартиры;"Дата перевозки:  14.08
					Время перевозки:  Не указано

										Общий объем:  2 м3
					Общий вес:  150 кг
                    Категория: Переезд";8,10589055;;14.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Переезд переезд;;;3250;Москва;Portici;12.08.2023;13,5;23700;№ 1887828; Заказ авто для переезда квартиры;"Дата перевозки:  12.08
					Время перевозки:  Не указано

										Общий объем:  0.2 м3
					Общий вес:  200 кг
                    Категория: Переезд";9,097179859;;12.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;838;Островец;Удомля;10.09.2023;12;46800;№ 1888497; Квартирный переезд под ключ;"Дата перевозки:  05.09
					Время перевозки:  Не указано

										Общий объем:  6.8 м3
					Общий вес:  268 кг
                    Категория: Переезд";11,4461078;;10.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личные вещи в сумках;;;4325;Можайск;Эль-Эхидо;11.09.2023;13;145100;№ 1888639; Заказать грузовой автомобиль для транспортировки вещей ;"Груз : Личные вещи в сумках 
                                        Дата перевозки:  11.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 37 см; 76 см; 52 см;
					Объем:  0.15 м3";12,29710716;;11.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Велосипед;;;2471;Москва;Хофддорп;02.09.2023;13;26100;№ 1889305; отвезти Велосипед дешево попутно;"Груз :
							Велосипед						
                                        Дата перевозки:  02.09
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 10 кг
                    Д; Ш; В : 150 см; 30 см; 70 см;
					Объем:  0.32 м3";7,906610784;;02.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Велосипед;;;2360;Красногорск;Майнц;14.08.2023;12;32900;№ 1889643; Перевезти мотоцикл цена;"Груз :
							Велосипед						
                                        Дата перевозки:  19.08
					Время перевозки:  08:00
                    Категория: Транспортные средства
                    Вес: 12 кг
                    Д; Ш; В : 150 см; 30 см; 150 см;
					Объем:  0.68 м3";9,152471457;;14.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Удобрение;;;1975;Москва;Бургас;14.08.2023;10,5;25800;№ 1890091; Транспортировать Удобрение;"Груз : Удобрение 
                                        Дата перевозки:  с 14.08 по 14.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 30 см; 20 см; 10 см;
					Объем:  0.01 м3";8,091944392;;14.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Дорожная сумка;;;1157;Вильнюс;Рязань;23.08.2023;10,5;11900;№ 1891990; Перевезти Дорожная сумка;"Груз : Дорожная сумка 
                                        Дата перевозки:  18.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 8 кг
                    Д; Ш; В : 70 см; 30 см; 30 см;
					Объем:  0.06 м3";6,686148597;;23.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Ленд Ровер Рендж Ровер / 2015 г / 1 шт;;;1267;Москва;Калининград;26.08.2023;2;52400;№ 1893313; Транспортировать легковую машину стоимость;"Груз :
							Ленд Ровер Рендж Ровер / 2015 г / 1 шт						
                                        Дата перевозки:  26.08
					Время перевозки:  Не указано
                    Категория: Транспортные средства
                    Вес: не указано
                    Д; Ш; В : не указано
					Объем:  не указано";13,53986001;;26.08.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Коробка с книгами и личными вещами, Коробка с одеждой и личными вещами;;;1835;Вильнюс;Ульяновск;01.09.2023;10,5;101000;№ 1895287; Заказ авто для перевозки мебели ;"Груз № 1: Коробка с книгами и личными вещами 
                                        Дата перевозки:  05.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";10,16764192;;01.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;2903;Москва;Лондон;11.09.2023;10,5;296800;№ 1895302; Квартирный переезд;"Дата перевозки:  с 15.09 по 11.11
					Время перевозки:  Не указано

										Общий объем:  1.73683 м3
					Общий вес:  265 кг
                    Категория: Переезд";9,630874892;;11.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Гитара;;;4672;Москва;Oeiras;09.09.2023;12;25800;№ 1895579; Транспортировка личныx вещей ;"Груз : Гитара 
                                        Дата перевозки:  с 22.09 по 25.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 15 см; 40 см; 90 см;
					Объем:  0.05 м3";9,534791315;;09.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Средние коробки, средние коробки №2, средние коробки №3, средние коробки №4, средние коробки №4;;;2494;Москва;Haarlem;09.09.2023;13,5;67200;№ 1896191; Заказать грузовую газель для доставки личныx вещей ;"Груз № 1: Средние коробки 
                                        Дата перевозки:  09.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";10,0046894;;09.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Ваза;;;2393;Москва;Бонн;15.09.2023;13;25800;№ 1896675; Заказ грузовой машины для доставки мебели ;"Груз : Ваза 
                                        Дата перевозки:  30.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 12 кг
                    Д; Ш; В : 60 см; 25 см; 60 см;
					Объем:  0.09 м3";10,31070874;;15.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Автомобильные колёса;;;926;Рига;Москва;09.09.2023;13;79500;№ 1896815; Доставить груз;"Груз :
							Автомобильные колёса						
                                        Дата перевозки:  12.09
					Время перевозки:  13:00
                    Категория: Транспортные средства
                    Вес: 30 кг
                    Д; Ш; В : 60 см; 40 см; 100 см;
					Объем:  0.24 м3";9,301459904;;09.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Вещи в коробках;;;725;Минск;Москва;10.09.2023;1,5;11000;№ 1897548; Доставить Вещи в коробках;"Груз : Вещи в коробках 
                                        Дата перевозки:  10.09
					Время перевозки:  с 08:00 по 10:00
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 50 см; 40 см; 40 см;
					Объем:  0.08 м3";6,550866512;;10.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Детская одежда;;;920;Тверь;Эспоо;16.09.2023;10,5;12500;№ 1898619; Транспортировать Детская одежда;"Груз : Детская одежда 
                                        Дата перевозки:  с 16.09 по 27.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 60 см; 50 см; 50 см;
					Объем:  0.15 м3";12,71522739;;16.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Личные вещи (коробки);;;4847;Екатеринбург;Рим;03.11.2023;13;13700;№ 1898800; Отправить Личные вещи (коробки);"Груз : Личные вещи (коробки) 
                                        Дата перевозки:  с 18.10 по 05.11
					Время перевозки:  с 08:00 по 18:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 40 см; 40 см; 60 см;
					Объем:  0.1 м3";8,597629941;;03.11.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Картонная коробка, Средние коробки, Средние коробки, Горные лыжи;;;2361;Москва;München;20.09.2023;12,5;84700;№ 1899616; Транспортировать Картонная коробка, Средние коробки, Средние коробки, Горные лыжи;"Груз № 1: Картонная коробка 
                                        Дата перевозки:  23.09
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";11,13023596;;20.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;448;Подгорица;Белград;22.09.2023;12;210500;№ 1899997; Заказать машину для переезда;"Дата перевозки:  с 22.09 по 26.09
					Время перевозки:  Не указано

										Общий объем:  6 м3
					Общий вес:  450 кг
                    Категория: Переезд";13,70952357;;22.09.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Трехколесный велосипед;;;3038;Datteln;Гулькевичи;06.10.2023;13;51600;№ 1901404; Отправить мопед;"Груз :
							Трехколесный велосипед						
                                        Дата перевозки:  с 30.09 по 07.10
					Время перевозки:  Не указано
                    Категория: Транспортные средства
                    Вес: 40 кг
                    Д; Ш; В : 200 см; 65 см; 150 см;
					Объем:  1.95 м3";9,667928393;;06.10.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Квартирный переезд;;;3858;Санкт-Петербург;Валенсия;01.10.2023;10,5;154800;№ 1901598; Услуги квартирного переезда;"Дата перевозки:  01.10
					Время перевозки:  с 14:00 по 18:00

										Общий объем:  2.26 м3
					Общий вес:  140 кг
                    Категория: Переезд";9,538903861;;01.10.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Картонная коробка;;;1266;Москва;Варшава;05.10.2023;6;12100;№ 1903571; Сколько стоит перевозка картонной коробки;"Груз :
							Картонная коробка						
                                        Дата перевозки:  05.10
					Время перевозки:  Не указано
                    Категория: Прочие грузы
                    Вес: 2 кг
                    Д; Ш; В : 35 см; 24 см; 12 см;
					Объем:  0.01 м3";11,52721734;;05.10.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Переезд переезд;;;1092;Москва;Хельсинки;06.10.2023;10,5;152000;№ 1903950; Заказ авто для квартирного переезда;"Дата перевозки:  с 16.10 по 22.10
					Время перевозки:  Не указано

										Общий объем:  0.67 м3
					Общий вес:  210 кг
                    Категория: Переезд";10,76236839;;06.10.2023
12;drdawin;Mercedes-Benz Sprinter 316 CDI;1,5;Легковой автомобиль;Компьютер в комплекте и сумка с вещами;;;2324;Гуково;Дрезден;15.10.2023;13;57300;№ 1904793; Транспортировка вещей ;"Груз : Компьютер в комплекте и сумка с вещами 
                                        Дата перевозки:  15.10
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 80 см; 70 см; 100 см;
					Объем:  0.56 м3";8,205766371;;15.10.2023
